Unidad;Participante;Descripción;Año;Periodo tarifario;GD_A_E0;GD_A_E1;GD_A_E2_A;GD_A_E2_B;GD_A_E3;GD_A_E4;GD_A_E5;GD_A_E6;GD_S_E0;GD_S_E1;GD_S_E2_A;GD_S_E2_B;GD_S_E3;GD_S_E4;GD_S_E5;GD_S_E6;ED_A_E0;ED_A_E1;ED_A_E2_A;ED_A_E2_B;ED_A_E3;ED_A_E4;ED_A_E5;ED_A_E6;ED_S_E0;ED_S_E1;ED_S_E2_A;ED_S_E2_B;ED_S_E3;ED_S_E4;ED_S_E5;ED_S_E6;AG_RE_TOTAL;DD_A_E0;DD_A_E1;DD_A_E2_A;DD_A_E2_B;DD_A_E3;DD_A_E4;DD_A_E5;DD_A_E6;DD_S_E0;DD_S_E1;DD_S_E2_A;DD_S_E2_B;DD_S_E3;DD_S_E4;DD_S_E5;DD_S_E6;DT_A_TOTAL;DT_S_TOTAL;CL_E0;CL_E1;CL_E2;CL_E3;CL_E4;CL_E5;CL_E6
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;1;22.411;11.881.279;3.865.513;7.270.234;32.226.134;274.980.497;0;0;0;328.930;3.662.209;48.913;725.019;1.853.254;0;0;0;47.389.047;266.313.215;120.418.833;558.476.082;431.155.463;0;1.584.344.669;0;1.284.000;20.366.765;2.143.589;10.748.477;10.801.569;0;7.873.797;446.382.460;0;527.969;13.713.136;92.305;6.241.107;199.471.369;0;0;22.518;5.983.952;74.936.191;3.787.418;38.237.553;211.674.986;0;0;6.730.482.493;1.748.828.234;3.868.713.551;448.419.128;2.491.038.312;623.326.606;347.917.292;0;236.040.420
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;2;36.483;15.561.793;5.016.618;11.034.231;43.727.162;361.507.925;0;0;0;446.316;4.912.887;58.086;1.058.027;2.695.502;0;0;0;61.853.996;293.709.001;170.515.752;750.344.818;602.012.646;0;2.284.044.109;0;1.630.089;25.141.044;3.066.944;15.431.828;18.019.537;0;12.048.813;326.351.180;0;357.600;18.119.698;308.484;8.701.496;265.051.290;0;0;28.997;8.067.803;101.908.960;4.517.415;53.419.715;273.928.094;0;0;8.856.880.922;2.488.770.843;4.915.553.421;556.116.834;3.127.410.287;853.804.633;482.373.640;0;352.332.377
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;3;12.122;5.888.570;2.144.796;4.830.867;15.757.517;156.256.098;0;0;752;189.625;2.091.641;34.359;471.618;1.826.242;0;0;0;32.299.858;169.578.750;87.798.007;389.620.207;337.195.094;0;1.257.368.709;0;824.952;13.967.809;1.595.190;7.420.518;9.681.919;0;4.825.463;231.686.184;0;275.393;8.358.174;108.535;4.237.232;129.406.835;0;0;14.211;3.529.832;45.399.922;2.246.899;24.546.358;135.373.749;0;0;4.135.845.323;1.379.729.192;2.261.208.496;286.399.502;1.600.604.458;437.543.819;246.971.015;0;189.523.452
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;4;20.172;9.559.987;3.530.051;7.873.575;26.029.456;249.143.636;0;0;1.031;320.687;3.418.486;55.901;780.818;3.091.891;0;0;0;53.061.415;283.833.353;146.172.672;650.470.469;566.343.584;0;2.198.690.758;0;1.367.458;23.269.963;2.746.608;12.240.389;15.448.036;0;7.348.723;392.260.515;0;378.208;13.628.972;269.413;6.869.507;205.739.248;0;0;21.814;5.737.310;73.068.268;3.465.691;39.889.307;223.625.947;0;0;6.612.733.438;2.398.632.798;3.552.154.728;471.064.647;2.623.642.640;728.584.616;413.619.032;0;319.087.956
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;5;28.010;14.380.985;5.425.595;8.275.316;49.106.362;309.057.030;0;0;242;448.512;4.851.647;80.639;1.032.979;3.000.448;0;0;0;76.644.763;424.093.014;217.850.021;892.188.559;701.924.265;0;2.591.354.555;0;2.496.037;34.527.830;6.468.730;23.020.150;4.290.569;0;12.560.535;612.928.729;0;646.215;17.927.465;241.853;15.651.777;284.559.963;0;0;31.957;8.199.254;109.310.252;5.247.785;51.301.376;340.994.397;0;0;9.620.036.951;2.849.120.925;5.026.245.306;684.012.416;3.807.497.020;1.059.340.168;620.429.913;0;484.869.320
R1-001;0021;I-DE Redes Eléctricas Inteligentes, S.A.U.;2.019;6;157.329;76.365.815;28.173.761;46.681.875;220.473.482;1.523.905.195;0;0;2.577;2.136.041;24.837.407;425.879;5.110.423;16.538.689;0;0;0;295.099.104;1.378.460.340;901.923.884;3.787.999.867;3.290.561.099;0;11.902.168.529;0;8.374.140;158.631.013;16.099.746;97.108.217;76.605.465;0;73.739.540;1.221.105.399;0;1.250.689;82.703.701;2.297.560;68.599.275;1.196.569.738;0;0;152.949;36.600.011;415.516.385;18.794.356;223.302.078;1.355.654.499;0;0;37.153.218.678;13.053.720.680;18.970.650.402;2.190.017.722;13.470.747.541;4.394.848.448;2.891.080.212;0;2.487.661.843
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;1;215;0;4.274.833;0;61.712.904;180.886.325;0;0;30.645;132.430;1.714.786;8.736;243.518;18.739.086;0;0;0;336.455;122.283.419;0;414.100.002;225.665.679;0;376.969.836;0;23;4.161.842;0;4.273.604;547.722;0;3.389.793;68.874.113;5.369;72.353;34.455.387;2.685.238;4.061.852;170.318.823;0;0;0;435.028;89.093.034;2.258.761;14.335.606;189.198.044;0;0;2.206.552.137;588.608.310;1.298.071.111;0;765.430.691;212.776.086;56.168.444;8.514;364.649.287
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;2;260;0;5.732.212;0;87.698.841;218.597.675;0;0;42.187;216.720;2.820.393;12.361;357.080;24.953.341;0;0;0;498.473;168.027.733;0;600.683.435;327.205.764;0;487.672.047;0;28;5.666.749;0;5.710.874;745.496;0;5.717.263;49.769.533;7.026;197.362;47.881.438;4.355.683;5.679.750;222.334.901;0;0;0;208.714;118.570.376;2.969.565;20.919.192;261.397.996;0;0;2.967.033.543;780.247.121;1.712.732.260;0;954.081.030;288.296.376;78.125.692;12.878;563.301.916
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;3;145;0;2.649.963;0;37.564.968;94.686.031;0;0;19.759;18.060;1.034.716;7.343;167.825;11.571.519;0;0;0;131.400;82.008.217;0;298.814.943;179.790.212;0;289.475.398;0;278;2.740.733;0;2.365.861;263.529;0;2.477.251;36.677.494;3.580;53.985;21.633.154;2.027.898;2.388.309;107.280.095;0;0;0;258.576;56.018.919;1.424.690;10.554.999;124.792.305;0;0;1.344.099.355;444.898.464;764.650.976;0;483.282.452;143.974.506;41.979.344;5.892;261.119.231
R1-002;0022;UFD DISTRIBUCIÓN ELECTRICIDAD, S.A.;2.019;4;243;0;4.292.166;0;60.683.025;144.438.865;0;0;32.673;32.330;1.729.943;11.941;287.968;18.982.366;0;0;0;220.756;135.366.889;0;503.234.113;304.957.122;0;473.842.390;0;416;4.570.787;0;3.853.216;351.546;0;4.365.108;59.294.971;5.660;98.870;35.294.520;3.344.338;3.519.609;183.526.265;0;0;0;351.787;90.283.316;2.348.115;17.981.738;201.029.956;0;0;2.200.694.819;728.171.188;1.241.208.260;0;791.621.676;239.508.000;87.289.657;11.212;437.667.987
